Date,Open,High,Low,Close,Adj Close,Volume,%change
02/01/2018,86.129997,86.309998,85.5,85.949997,80.940384,22483800,
03/01/2018,86.059998,86.510002,85.970001,86.349998,81.317093,26061400,-0.081271337
04/01/2018,86.589996,87.660004,86.57,87.110001,82.032776,21912000,0.006158471
05/01/2018,87.660004,88.410004,87.43,88.190002,83.049843,23407100,0.012357178
08/01/2018,88.199997,88.580002,87.599998,88.279999,83.13459,22113000,0.006160084
09/01/2018,88.650002,88.730003,87.860001,88.220001,83.078087,19484300,0.005102098
10/01/2018,87.860001,88.190002,87.410004,87.82,82.701393,18652200,-0.008911461
11/01/2018,88.129997,88.129997,87.239998,88.080002,82.946259,17808900,0.003073025
12/01/2018,88.669998,89.779999,88.449997,89.599998,84.377647,24271500,0.006127323
16/01/2018,90.099998,90.790001,88.010002,88.349998,83.200516,36599700,0.016127214
17/01/2018,89.080002,90.279999,88.75,90.139999,84.886169,25621200,-0.011320711
18/01/2018,89.800003,90.669998,89.660004,90.099998,84.848495,24159700,0.008082633
19/01/2018,90.139999,90.610001,89.660004,90,84.754318,36875000,0.003786147
22/01/2018,90,91.620003,89.739998,91.610001,86.270493,23601600,-0.001553128
23/01/2018,91.900002,92.300003,91.540001,91.900002,86.543602,23412800,0.021111133
24/01/2018,92.550003,93.43,91.580002,91.82,86.468262,33277500,0.007072916
25/01/2018,92.470001,93.239998,91.93,92.330002,86.94854,26383200,-0.000864419
26/01/2018,93.120003,94.059998,92.580002,94.059998,88.577713,29172200,0.007029328
29/01/2018,95.139999,95.449997,93.720001,93.919998,88.445854,31569900,0.021692396
30/01/2018,93.300003,93.660004,92.099998,92.739998,87.334641,38635100,-0.019339878
31/01/2018,93.75,95.400002,93.510002,95.010002,89.472328,48756300,0.004823119
01/02/2018,94.790001,96.07,93.580002,94.260002,88.766037,47227900,0.011093344
02/02/2018,93.639999,93.970001,91.5,91.779999,86.430595,47867800,-0.012132102
05/02/2018,90.559998,93.239998,88,88,82.870911,51031500,-0.032891938
06/02/2018,86.889999,91.480003,85.25,91.330002,86.006828,67998600,-0.040525608
07/02/2018,90.489998,91.769997,89.199997,89.610001,84.387054,41107600,0.041431684
08/02/2018,89.709999,89.879997,84.760002,85.010002,80.055191,55628700,-0.008619726
09/02/2018,86.300003,88.93,83.830002,88.18,83.040421,63499100,-0.038011326
12/02/2018,88.739998,89.779999,87.93,89.129997,83.935051,35720300,0.028273406
13/02/2018,88.93,90,87.800003,89.830002,84.594246,26407700,0.002141109
14/02/2018,88.510002,90.989998,88.410004,90.809998,85.918846,34960900,-0.004722793
15/02/2018,91.209999,92.720001,90.620003,92.660004,87.669197,27823900,0.030504993
16/02/2018,92.449997,93.5,91.800003,92,87.044739,30596900,0.013594979
20/02/2018,91.480003,93.059998,91.010002,92.720001,87.72596,30911700,-0.010492093
21/02/2018,92.980003,93.360001,91.489998,91.489998,86.562202,26922500,0.016397026
22/02/2018,92.050003,92.730003,91.360001,91.730003,86.789291,24392800,-0.010002151
23/02/2018,93.599998,94.07,92.360001,94.059998,88.993797,26329200,0.01683862
26/02/2018,94.400002,95.449997,94.25,95.419998,90.280525,30199800,0.008547051
27/02/2018,95.739998,95.839996,94.199997,94.199997,89.126251,25869100,0.014194873
28/02/2018,94.839996,95.709999,93.629997,93.769997,88.719398,31167300,-0.009400481
01/03/2018,93.989998,94.57,91.839996,92.849998,87.848976,37135600,-0.008962442
02/03/2018,91.580002,93.150002,90.860001,93.050003,88.038185,32830400,-0.025640984
05/03/2018,92.339996,94.269997,92.260002,93.639999,88.596397,23901600,0.008298689
06/03/2018,94.339996,94.489998,92.940002,93.32,88.293663,22175800,0.021659087
07/03/2018,93.160004,93.940002,92.43,93.860001,88.804565,26716100,-0.012507866
08/03/2018,94.269997,95.099998,93.769997,94.43,89.343842,25887800,0.011914909
09/03/2018,95.290001,96.540001,95,96.540001,91.340225,36937300,0.010820028
12/03/2018,96.5,97.209999,96.040001,96.769997,91.557838,26073700,0.012698069
13/03/2018,97,97.239998,93.970001,94.410004,89.324928,35387800,0.005181347
14/03/2018,95.120003,95.410004,93.5,93.849998,88.795113,32132000,-0.019381412
15/03/2018,93.529999,94.580002,92.830002,94.18,89.107338,27611000,-0.016715769
16/03/2018,94.68,95.379997,93.919998,94.599998,89.504715,49081300,0.012295531
19/03/2018,93.739998,93.900002,92.110001,92.889999,87.886803,33344100,-0.0099282
20/03/2018,93.050003,93.769997,93,93.129997,88.113876,23075200,-0.007360732
21/03/2018,92.93,94.050003,92.209999,92.480003,87.498909,24457100,-0.001289661
22/03/2018,91.269997,91.75,89.660004,89.790001,84.953804,38604700,-0.01786294
23/03/2018,89.5,90.459999,87.080002,87.18,82.484367,44068900,-0.019392978
26/03/2018,90.610001,94,90.400002,93.779999,88.728867,56396800,0.012402246
27/03/2018,94.940002,95.139999,88.510002,89.470001,84.651024,56569000,0.04778723
28/03/2018,89.82,91.230003,88.870003,89.389999,84.57531,52501100,-0.053928817
29/03/2018,90.18,92.290001,88.400002,91.269997,86.354042,45867500,0.004008016
02/04/2018,90.470001,90.879997,87.510002,88.519997,83.752174,48515400,0.003215802
03/04/2018,89.580002,90.050003,87.889999,89.709999,84.878082,37213800,-0.009837504
04/04/2018,87.849998,92.760002,87.730003,92.330002,87.356987,35560000,-0.019312391
05/04/2018,92.440002,93.07,91.400002,92.379997,87.404266,29771900,0.052248197
06/04/2018,91.489998,92.459999,89.480003,90.230003,85.370102,38026000,-0.010276979
09/04/2018,91.040001,93.169998,90.620003,90.769997,85.880989,31533900,-0.004918538
10/04/2018,92.389999,93.279999,91.639999,92.879997,87.87735,26812000,0.014828625
11/04/2018,92.010002,93.290001,91.480003,91.860001,86.912277,24872100,-0.004112967
12/04/2018,92.43,94.160004,92.43,93.580002,88.539642,26758900,0.004564699
13/04/2018,94.050003,94.18,92.440002,93.080002,88.066574,23346100,0.017526809
16/04/2018,94.07,94.660004,93.419998,94.169998,89.097862,20288100,0.000212621
17/04/2018,95,96.540001,94.879997,96.07,90.895531,26771000,0.009886255
18/04/2018,96.220001,96.720001,95.519997,96.440002,91.245598,21043300,0.012842116
19/04/2018,96.440002,97.07,95.339996,96.110001,90.933395,23552500,0.002286437
20/04/2018,95.910004,96.110001,94.050003,95,89.883148,31154400,-0.005495624
23/04/2018,95.739998,96.290001,94.629997,95.349998,90.214302,22331800,-0.001772558
24/04/2018,96.239998,96.470001,92.410004,93.120003,88.104431,34524800,0.005222478
25/04/2018,93.300003,93.300003,90.279999,92.309998,87.338043,33729300,-0.030548577
